t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400521.04114,4.940499739352297,-176.21376515881846,1.2614269325110488,0.5617737525632263,0,987,527,1175,527,4,gap,,,,577,64
1765400521.17536,3.6156634018932476,-176.07298928584916,1.184989643616017,0.5423786739576213,0,987,527,1171,528,4,gap,,,,577,64
1765400521.311379,3.330746123921633,-176.12632420856147,1.1265843567291842,0.5422932330827068,0,987,527,1172,528,4,target,265.858034350484,561,14,577,64
1765400521.440833,2.8750146966244654,-175.98601200325228,0.6974908999464392,0.5588744588744589,0,987,530,1173,529,4,target,265.858034350484,561,14,577,64
1765400521.57744,3.6339664094237887,-177.1165420978882,1.2891638700271628,nan,0,nan,nan,nan,nan,4,target,265.858034350484,561,14,577,64
1765400521.7099562,4.032770176235468,-176.37364638941963,1.2501187191282153,0.5628070175438596,0,990,529,1173,528,4,target,265.858034350484,561,14,577,64
1765400521.8428018,4.1061461285880885,-176.14484292978756,0.6522624565027653,0.5703603603603604,0,990,529,1174,529,4,target,265.858034350484,561,14,577,64
1765400521.975014,3.8333147487436965,-176.31123062001834,0.6257768011615747,0.5494736842105263,0,988,528,1173,527,4,target,265.858034350484,561,14,577,64
1765400522.1077728,3.57707640553707,-176.0120683417726,0.6237087727288246,0.5466666666666666,0,988,528,1173,527,4,target,265.858034350484,561,14,577,64
1765400522.2452831,3.5469363938610106,-176.45216474029067,0.88826509362091,0.5457142857142857,0,988,528,1172,526,4,target,265.858034350484,561,14,577,64
1765400522.375445,1.538533494392951,-176.4722688190242,0.7803761412593733,0.5357997265892003,0,987,528,1171,527,4,target,265.858034350484,561,14,577,64
1765400522.508947,4.388574159441265,-176.00570110992112,0.7799881436590067,0.5328947368421053,0,987,527,1171,527,4,target,265.858034350484,561,14,577,64
1765400522.64186,2.9972845116663764,-176.17474237037533,0.8651415466216543,0.5394736842105263,0,987,527,1172,528,4,target,265.858034350484,561,14,577,64
1765400522.776864,3.35247731839232,-176.6806011245677,0.6995074566044425,0.5657894736842106,0,987,527,1175,529,4,target,265.858034350484,561,14,577,64
1765400522.907226,1.9216891407463996,-176.70400330309272,0.6798764379955984,0.5466666666666666,0,986,528,1172,529,5,center,,,,407,563
1765400523.044924,2.9755508746203043,-176.93151371647886,0.7935670940057253,0.542719298245614,0,986,527,1173,528,5,center,,,,407,563
1765400523.175881,4.75154372185844,-176.54557423236554,0.6998444312656638,0.5428070175438597,0,987,527,1173,527,5,center,,,,407,563
1765400523.309809,2.9218267063917063,-176.5820289811061,0.7533836111932822,0.5503603603603604,1,989,533,1171,531,5,center,,,,407,563
1765400523.4433181,2.359893549787122,-177.67756523004556,0.895940537990773,0.556936936936937,1,989,534,1173,532,5,center,,,,407,563
1765400523.573625,2.0633707800313754,-176.91014145747667,0.8856462473469423,0.5435135135135135,1,988,536,1172,535,5,center,,,,407,563
1765400523.7132952,3.163952873083756,-176.7242971492636,0.9443867466551429,0.5435135135135135,1,988,535,1172,536,5,center,,,,407,563
1765400523.8332522,3.0603441858215885,-176.75197531122623,1.0776961827291478,0.5435135135135135,1,988,536,1173,536,5,center,,,,407,563
1765400523.975224,3.956393272262876,-177.0987575049577,0.9515412217956258,0.5509070714550166,1,989,536,1173,537,5,gap,,,,407,563
1765400524.110463,4.028536525226277,-176.69578981198157,0.7406179126138941,0.5510921880784895,1,989,537,1173,537,5,gap,,,,407,563
1765400524.240811,0.6695550719699922,-176.92497290069832,0.6950245712475099,0.5504504504504504,1,988,536,1173,537,5,target,50.67651114449626,540,586,407,563
1765400524.3824372,2.9125190267605445,-176.54521356862566,0.5807971740282836,0.5608108108108107,1,989,537,1174,537,5,target,50.67651114449626,540,586,407,563
1765400524.508482,3.2117038184946782,-176.53798193004823,0.9528087152847824,0.5472972972972973,1,988,537,1173,537,5,target,50.67651114449626,540,586,407,563
1765400524.637422,2.836515723039895,-176.38374013670847,0.5053208412452778,0.598204368752314,1,988,538,1180,537,5,target,50.67651114449626,540,586,407,563
1765400524.780972,2.8288201906233286,-176.74473558229846,0.7367597471171253,0.5496491228070175,1,987,540,1174,540,5,target,50.67651114449626,540,586,407,563
1765400524.903593,3.2574097758394918,-176.42714241924554,1.1038627064003301,0.5367567567567568,1,986,540,1172,540,5,target,50.67651114449626,540,586,407,563
1765400525.0455942,4.495969392357974,-175.63436116157638,0.6774073303613486,0.5333333333333333,1,986,539,1171,538,5,target,50.67651114449626,540,586,407,563
1765400525.1757069,0.8889150967481028,-175.1621813145043,0.9033728975614226,0.527027027027027,1,985,539,1171,538,5,target,50.67651114449626,540,586,407,563
1765400525.312073,2.197838092147649,-175.32706782360637,0.6088042230354689,0.6013513513513513,1,986,539,1180,538,5,target,50.67651114449626,540,586,407,563
1765400525.442443,2.209192235225855,-175.22217912413984,0.8647007654914252,0.5733333333333334,1,985,540,1177,539,5,target,50.67651114449626,540,586,407,563
1765400525.5779681,3.0346257557241514,-175.82007960775138,0.8568568844486895,0.54,1,984,540,1174,539,5,target,50.67651114449626,540,586,407,563
1765400525.710963,2.1619429305721996,-175.46364432306163,0.8304425596132142,0.5133333333333333,1,983,540,1170,540,5,target,50.67651114449626,540,586,407,563
