t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_angle_deg,stimulus_x,stimulus_y,fixation_x,fixation_y
1765400624.537494,2.9929442693265846,177.91346347135584,1.7002134434440415,0.5546120546120545,1,973,507,1162,510,4,target,235.29086345261328,389,372,509,545
1765400624.674779,5.296596285166301,177.74605156499302,1.1868766100332344,0.5618591934381407,1,973,506,1162,510,4,target,235.29086345261328,389,372,509,545
1765400624.8081632,7.255969285412611,177.84312175442463,1.0988532394876194,0.5494736842105263,1,973,507,1161,510,4,target,235.29086345261328,389,372,509,545
1765400624.938048,7.357384834889885,177.16259482048324,0.8915986492702179,0.5492277992277992,0,973,506,1161,510,4,target,235.29086345261328,389,372,509,545
1765400625.0741801,5.3078116462962965,177.47585892216722,1.2158980160807382,0.5428070175438597,1,972,506,1161,509,5,center,,,,587,422
1765400625.210314,6.847985024438406,177.68328310445096,1.1357142847429211,0.5453679653679654,1,972,506,1161,508,5,center,,,,587,422
1765400625.338913,6.851246505085353,177.01511769516318,0.9665055365575308,0.5520346320346321,1,973,506,1161,509,5,center,,,,587,422
1765400625.474717,7.5779810017297535,177.60612570123615,0.8785570797607989,0.5322077922077921,1,971,506,1160,509,5,center,,,,587,422
1765400625.607842,7.158033791163925,177.55849201325114,0.7994870802988533,0.5323809523809524,0,971,506,1160,509,5,center,,,,587,422
1765400625.7412212,8.560056587329637,177.78511123779955,0.7448848390246309,0.5228070175438597,1,968,508,1159,510,5,center,,,,587,422
1765400625.875863,9.3830350359035,177.93155602286748,0.7547534434791343,0.5462304409672831,1,971,508,1160,510,5,center,,,,587,422
1765400626.006602,4.225903146197468,177.3560175250119,1.2650281725025436,0.5749316473000683,1,972,508,1161,511,5,center,,,,587,422
1765400626.141793,7.004336069064962,177.3406063751685,0.9925596822666845,0.5626315789473684,0,972,507,1160,511,5,gap,,,,587,422
1765400626.271799,5.872959722072692,177.72017660164244,1.009086681255009,0.5749316473000683,1,972,508,1160,511,5,gap,,,,587,422
1765400626.406358,8.412404867604371,177.43558512882706,0.8281881811181936,0.5561403508771929,1,972,509,1159,512,5,target,353.75498106497207,586,399,587,422
1765400626.5403311,7.284492537393837,177.53170509217668,0.562843690755239,0.5522077922077921,1,971,509,1159,512,5,target,353.75498106497207,586,399,587,422
1765400626.677566,9.126607038627292,177.39966375798505,0.5481153004303603,0.5492307692307692,1,974,512,1158,518,5,target,353.75498106497207,586,399,587,422
