t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py
1763404396.233845,-1.7322746257994934,172.97525292523235,-2.785800497948033,0.6259233926128591,1,941,423,1160,417
1763404396.3670342,-5.879809048301425,173.55400674961086,-2.016632102918734,0.7262339418526031,1,950,420,1167,417
1763404396.503211,-7.887540922011882,174.42907353970122,-1.9903721003318264,0.682372346528973,0,948,420,1163,415
1763404396.633584,-9.267775368957363,174.3209412873182,-2.2291736991702074,0.6904761904761905,0,951,420,1167,414
1763404396.7669911,-6.304667369278097,173.21594982409687,-2.846417202278431,nan,0,nan,nan,nan,nan
1763404396.902386,-5.974545052878556,173.52928204198923,-2.74088282517911,nan,0,nan,nan,nan,nan
1763404397.034569,-10.951925577304982,174.94696043031584,-2.214979103314461,nan,0,nan,nan,nan,nan
1763404397.1678,-8.660301556899693,173.6855886017001,-2.1056029340082874,nan,0,nan,nan,nan,nan
1763404397.302573,-14.466945925772846,172.47646479467608,-1.0572245984789241,0.5196809432980752,1,923,422,1161,420
1763404397.434446,-8.923166165207114,172.90775543217256,-1.8266682652561745,0.6643611482968912,1,947,417,1163,412
1763404397.567478,-6.977197897315319,172.37783716192283,-1.6120943774010432,0.6603732001175433,1,947,417,1160,412
1763404397.7022238,-5.555956269352337,172.63465092441123,-1.7241563627958398,0.6547619047619047,1,945,417,1158,412
1763404397.834292,-5.83849467617548,172.8612838344153,-1.7434269733617775,0.6464429145152037,1,944,418,1157,412
1763404397.968833,1.2084009275315846,173.10082023050464,-3.5860066124612837,0.6713055954088952,0,940,419,1157,413
1763404398.103201,-3.495832704774046,173.11539798033155,-2.206362130925064,0.6787277701778386,1,939,417,1157,412
1763404398.2358599,-3.319227871125696,172.1618574844126,-3.0087828134933194,0.5977011494252873,0,920,418,1157,413
1763404398.369529,-4.264071549406548,173.0285238195246,-2.7190557823124872,0.6506024096385542,1,929,421,1151,415
1763404398.5040698,-0.8410156458718413,174.91880119718294,-3.203690546447588,0.542239546420978,1,909,422,1141,416
1763404398.6356852,-1.1137024891820888,174.83182355463688,-3.3061280661683576,0.5672366621067031,0,912,421,1135,414
1763404398.769213,-0.12665705082566156,175.13243424969633,-3.3214462166852656,0.5712513061650992,0,914,418,1130,413
1763404398.903012,0.3898960024437053,173.92728908405059,-3.7468850927352473,0.6593406593406593,0,924,423,1144,414
1763404399.035869,-0.2698823989046318,173.74922180828247,-3.9683439605256416,0.6761363636363636,1,927,425,1151,415
1763404399.1693702,1.5822441150375028,175.37296626414565,-3.575757790462414,0.6838498580071614,1,928,423,1155,415
1763404399.3032389,0.6380580356972281,176.50628796835298,-2.0864089116738507,0.6905982905982906,0,920,425,1153,423
1763404399.436667,-2.219930128458134,176.32020652362905,-1.3615505710588913,0.4929448654298406,1,882,436,1117,429
1763404399.56998,-5.261427176429284,177.25392889204053,-0.9968239818337118,0.48396464646464643,0,878,428,1109,423
1763404399.703618,-3.2923151782272564,177.5438547764779,-0.9676149287460839,0.4364385614385614,0,874,430,1094,424
1763404399.836034,1.0093132027316325,174.44553397988457,-1.3309359756952044,0.4919467787114846,1,863,438,1100,433
1763404399.969285,1.4704039749787592,175.11832915332545,-1.5343634421032646,0.48244831176558084,1,865,429,1087,425
1763404400.104195,-0.6284913060703182,174.94845422490997,-1.4835154994710764,0.5141803743618831,1,866,428,1094,422
1763404400.2366579,-1.7688434511734408,176.29281889666967,-1.155160926914892,0.48589949211440786,0,870,429,1092,423
1763404400.369788,-1.0467778248350543,176.11824530603957,-0.9748093025352504,0.48892580287929127,0,872,427,1094,422
1763404400.5040362,0.27795148803040304,176.27662522327455,-1.0974771814497257,0.4891142663962137,0,872,427,1095,422
1763404400.6364381,-0.26826509975349716,176.77461984632748,-1.4769141050391674,0.5035928926051738,0,876,428,1094,423
1763404400.769324,-0.34537838653847586,176.12037647293147,-1.0173060542776466,0.5129695251594614,0,870,426,1097,422
1763404400.9067142,2.9750922125139847,175.70785954733185,-1.4421090387382776,0.5093023255813953,0,866,428,1093,424
1763404401.036618,2.2281549829867173,176.04942349373874,-1.5672231764353486,0.5010630758327428,0,863,431,1091,425
1763404401.1697202,3.774429625139474,176.68881640472694,-2.0202626514787827,0.5361295681063123,0,865,432,1091,425
1763404401.303633,3.303528567856721,175.73414854612545,-1.7808406373384351,0.49856321839080464,0,860,431,1090,426
1763404401.436357,3.9453826233729505,175.3447688837325,-2.180215945493472,0.5093837535014005,0,860,432,1089,425
1763404401.57009,5.228000509918823,175.75195320681908,-2.1145861448631162,0.530474840538625,0,863,434,1088,427
1763404401.704282,1.5412746310191077,175.10231404860133,-2.017250052012344,0.52773886242645,0,864,433,1088,427
1763404401.836274,4.2251816783460905,176.14652314262534,-1.695652713424934,0.5301771871539314,0,864,432,1088,427
1763404401.969544,3.92559602339219,175.32349121212977,-1.7772115140821316,0.521551724137931,0,864,434,1089,428
1763404402.103819,4.148891963360337,176.46204244131414,-1.7745656164639332,0.5321438118150228,0,864,433,1090,427
1763404402.236334,5.824991263460828,176.4056680536801,-1.9388105471018025,0.5208618331053352,0,863,433,1089,428
1763404402.3699489,5.859335729123136,175.59971872857278,-2.305808259960223,0.5297619047619048,0,864,434,1088,427
1763404402.504309,4.793401392238722,175.24647209699137,-2.083041420884722,0.5334564860426929,0,863,433,1088,426
1763404402.6365042,6.23924468167177,176.1333929038654,-2.282391690963402,0.535632183908046,0,863,433,1088,427
1763404402.770709,4.646264384156756,176.1838981878317,-2.031968659891774,0.5242248062015504,0,863,435,1088,427
1763404402.90389,6.382153490592875,175.73986286282795,-1.821342127705601,0.5149692595562684,0,859,433,1088,427
1763404403.036469,5.690376004167789,175.60992774046062,-2.0237643800241734,0.5383720930232558,0,862,433,1087,427
1763404403.170357,5.03280755899931,175.66604901212665,-2.532118365403486,0.5447478991596638,0,862,433,1087,425
1763404403.305131,5.522808649938004,176.173952269499,-2.715315506464231,0.5364989369241673,0,861,432,1085,425
1763404403.436546,7.427549412349669,176.27234789924458,-2.7136753598124352,0.5395769123003643,0,862,432,1084,426
1763404403.570169,5.680116846962864,175.31278515213432,-2.2865685524514543,0.5332759609868043,0,863,432,1084,425
1763404403.705038,5.180305131810125,176.5058714525524,-2.123799533762355,0.5294117647058824,0,864,431,1087,425
1763404403.836861,5.114750242714552,176.06850575546238,-1.8555527428131333,0.5093023255813953,0,862,430,1088,425
1763404403.9709718,4.076411737773352,175.31238887992996,-1.786332697150672,0.5447478991596638,0,867,430,1089,424
1763404404.104884,4.1557584609561635,175.76538149151494,-2.054960863176824,0.5348837209302326,0,866,429,1088,422
1763404404.2377129,5.994790192140437,176.0654949027629,-1.9057807054302849,0.5297498309668696,0,866,428,1088,422
1763404404.370241,6.034857508411919,176.0068071943509,-1.905457860215888,0.527504105090312,0,866,428,1089,421
1763404404.504767,5.422931348667619,176.28271344830702,-2.062686567188655,0.5297498309668696,0,866,428,1088,422
1763404404.636222,8.183843907549951,176.8414998531071,-2.119411545500939,0.5290697674418605,0,865,429,1088,423
1763404404.771195,6.965827414420062,176.61541758102467,-2.1238368547925988,0.5337202468410226,0,866,430,1087,424
1763404404.905386,5.9365996286559914,176.65623536485614,-1.8919442714752883,0.5073170731707317,1,861,429,1088,424
1763404405.03649,7.2318850017057015,176.2237088970193,-2.384761794163398,0.5158837699488106,0,860,431,1088,424
1763404405.1720479,5.322797878722229,176.6976260704845,-2.015604083791838,0.5134146341463415,0,861,430,1087,425
