t,yaw,pitch,roll,g_horizontal,is_blinking,left_px,left_py,right_px,right_py,trial_index,stimulus_state,stimulus_direction
1763480496.8605719,-4.25875261626016,176.3392064363476,17.01720694802341,0.7044740973312402,0,747,440,870,478,2,center,right
1763480496.991151,-4.729230364916562,176.2362782823687,17.472225749546542,0.6975356180207932,0,747,439,873,479,2,center,right
1763480497.128465,-5.810098549395655,176.60811891351833,17.526021822800743,0.6992635024549918,0,749,441,874,480,2,center,right
1763480497.260488,-2.9960616276130394,176.522524472911,17.51641033021596,0.67459324155194,0,749,441,874,481,2,center,right
1763480497.395778,-6.0839941176107075,176.2518756169952,17.77030541403761,0.7056737588652482,0,750,442,875,481,2,gap,right
1763480497.519114,-2.4752849520259748,176.75229134339722,17.311592762943757,0.6979166666666666,0,750,442,875,481,2,gap,right
1763480497.6614752,-5.028338276143273,176.43892220749686,17.784877355508957,0.6915064102564102,0,750,442,875,481,2,target,right
1763480497.798648,-5.2765485405528985,175.99740166289547,17.476775872707357,0.7115384615384616,0,750,442,875,480,2,target,right
1763480497.921938,-5.084442576898617,175.77305539508677,17.54214805825919,0.6915064102564102,0,749,442,874,481,2,target,right
1763480498.065131,-3.262271106014723,175.65925556909463,17.171571221555727,0.6915064102564102,0,749,442,874,481,2,target,right
1763480498.1879559,-6.013476524211588,175.25249507852857,17.646736752981113,0.6881127450980392,0,749,444,874,482,2,target,right
1763480498.326103,-5.1494286991474025,175.88581705531536,17.438401066654265,0.6886252045826514,0,750,444,875,482,2,target,right
1763480498.459467,-4.423213521529477,175.64995863440973,17.283016721207552,0.6778975741239892,0,750,444,875,482,2,target,right
1763480498.590633,-5.075568254964723,176.085582395184,17.11363573799876,0.6444270015698588,0,747,443,873,482,2,target,right
1763480498.725971,-4.467290834960726,175.461066936664,16.961452448866638,0.624607535321821,0,746,444,872,483,2,target,right
1763480498.865439,-7.245377039248545,175.7177601125659,17.131623364223863,0.6308523409363745,0,746,445,871,483,2,target,right
1763480498.9908302,-6.462242596899331,175.59780382962586,17.04941888257255,0.6274509803921569,0,746,445,871,484,2,target,right
1763480499.122168,-6.576411029617955,175.9788656600297,16.936454202592813,0.6372549019607843,0,746,446,872,484,2,target,right
1763480499.263463,-3.013551571018391,175.3926896592365,16.735010971326997,0.6610576923076923,0,747,446,874,484,3,center,right
1763480499.392141,-6.342136640514005,175.60219272748859,16.9529231806391,0.671474358974359,0,748,447,874,484,3,center,right
1763480499.5287218,-3.166078301513812,175.35470068731033,16.889155490585463,0.6776960784313726,0,748,446,874,485,3,center,right
1763480499.660616,-4.081242513778891,175.23091453021968,16.518758069876093,0.6810897435897436,0,748,447,874,485,3,center,right
1763480499.795125,-6.90733182523353,175.3334488877329,16.989479386471373,0.7011217948717949,0,749,448,875,485,3,center,right
1763480499.9285288,-2.5880200269647586,175.54852573803964,16.781223262629318,0.673861852433281,0,748,449,875,486,3,center,right
1763480500.060002,-9.594929028565025,175.68643334695892,17.331248025027556,0.6904761904761905,0,749,448,875,486,3,center,right
1763480500.1997068,-6.211449622456513,175.85621081934733,16.822284444991105,0.6907051282051282,0,749,448,875,486,3,center,right
1763480500.3258429,-18.889964430141195,177.09327092670543,18.697250249824084,0.7083333333333333,0,757,448,882,485,3,gap,right
1763480500.456885,-13.888146984491293,175.63841307119958,18.011171155443638,0.720688275310124,0,762,447,889,486,3,gap,right
1763480500.595503,-25.385360303756624,176.67238691199148,18.89640181143869,0.673469387755102,0,767,445,895,483,3,target,right
1763480500.729995,-31.41066120543901,177.36445659386925,18.36604477667808,0.7066666666666667,1,796,451,921,487,3,target,right
1763480500.859722,-41.1352852581328,176.70051100311724,17.31950987338902,0.8415384615384616,0,844,455,958,488,3,target,right
1763480500.992003,-39.362395965594324,175.8377806168889,16.563388832681316,nan,0,nan,nan,nan,nan,3,target,right
1763480501.1332889,-40.61563662950146,175.78263257848062,17.530348488743744,nan,0,nan,nan,nan,nan,3,target,right
1763480501.2592661,-41.106748003373916,177.0769589233021,16.680275786549995,nan,0,nan,nan,nan,nan,3,target,right
1763480501.395357,-33.940150305556585,178.37251598958932,15.144005179567937,nan,0,nan,nan,nan,nan,3,target,right
1763480501.525043,-22.108029941199337,-179.1919621006474,16.029722539772006,0.607843137254902,1,773,468,901,501,3,target,right
1763480501.660573,-22.21863643025809,-178.23763687119762,15.320875249392103,0.6198479391756703,1,765,464,894,499,3,target,right
1763480501.796109,-31.424952030183615,-174.0472421432565,14.627472032139295,nan,0,nan,nan,nan,nan,3,target,right
1763480501.929185,-29.559767048063666,-175.50810813020266,15.749175379220025,0.5714285714285714,0,768,457,894,490,3,target,right
1763480502.062937,-24.273781715807296,-177.62111093845326,16.3794802867118,0.6208791208791209,0,770,458,898,494,3,target,right
1763480502.1967528,-19.74261255758063,179.7665176275887,17.00213866571934,0.6241176470588236,1,775,466,900,502,4,center,right
1763480502.32562,-29.483281190583508,-175.25763513824384,15.457866810255624,0.563983488132095,0,773,458,900,493,4,center,right
1763480502.458488,-20.020744147503464,179.56412667763135,17.092857146037616,0.6212292609351433,1,772,464,899,502,4,center,right
1763480502.596125,-20.969639121833115,179.2997377839916,17.02316226706664,0.6161224489795918,0,771,464,899,501,4,center,right
1763480502.730412,-21.43277292870514,179.16717284633026,16.986633016323726,0.63,0,772,466,899,502,4,center,right
1763480502.860787,-21.752893593549572,179.05643491546587,16.707193587837324,0.65,0,773,468,899,504,4,center,right
1763480502.9934561,-20.33276731901882,178.8511972709383,17.024748017087337,0.63,0,772,468,899,505,4,center,right
1763480503.1246772,-22.582984859503583,178.66040755355854,17.090377652703204,0.6632653061224489,0,773,470,899,506,4,center,right
1763480503.2616498,-21.409754495846784,177.9481816168885,17.06616849617831,0.636326530612245,0,772,471,898,507,4,gap,right
1763480503.396609,-20.15862131665432,178.5918223602007,17.009435439810794,0.6437254901960785,0,773,473,899,509,4,gap,right
1763480503.52771,-22.322457728446494,178.04511142400898,17.22222718869673,0.6326530612244898,0,773,474,898,509,4,target,left
1763480503.663557,-22.11181345172807,178.90919072800523,17.37031640576622,0.6224489795918368,0,774,474,898,509,4,target,left
1763480503.796653,-23.189234522139216,178.15975896560965,17.360426108387085,0.6125,0,773,473,898,509,4,target,left
1763480503.927558,-21.653814866339705,177.70490692599128,17.21193695905245,0.6100440176070427,0,773,474,899,510,4,target,left
1763480504.0650308,-23.083350293549174,178.2405715691995,17.510755984761992,0.6020408163265306,0,773,473,899,510,4,target,left
1763480504.194783,-22.904270208049084,178.50827818611458,17.309952638268953,0.6122448979591837,0,774,474,899,509,4,target,left
1763480504.327586,-22.620723898133637,178.7831457637479,17.288206485459135,0.6224489795918368,0,774,474,900,510,4,target,left
1763480504.461173,-24.242487267516935,178.49630132395643,17.18351324050292,0.598001700680272,0,773,474,899,510,4,target,left
